id,genus,species,COLL,Site,elev,Sex,mass,wing.length,wing.area,AR,lifted.beads,maneuv.id
Metallura.tyrianthina_E00033,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.559999943,5.818999863,18.56400193,7.296004295,8.449999797,NA
Metallura.tyrianthina_E00036,Metallura,Metallura.tyrianthina,DLA,Acjanaco,3449.999999,Male,3.900000099,5.888999941,17.61297903,7.876082797,4.499999997,NA
Metallura.tyrianthina_E00038,Metallura,Metallura.tyrianthina,DLA,Acjanaco,3449.999999,Female,3.499999997,6.036000054,20.98072687,6.946050445,7.150000106,NA
Metallura.tyrianthina_E00039,Metallura,Metallura.tyrianthina,DLA,Acjanaco,3449.999999,Male,3.599999902,6.447000116,22.68410976,7.329149964,7.800000194,NA
Oreotrochilus.chimborazo_A33401,Oreotrochilus,Oreotrochilus.chimborazo,PSS,Ecu,3523,Male,9.5,7.9799,39.79953,6.401,13.16,OROCH002
Oreotrochilus.chimborazo_USER44,Oreotrochilus,Oreotrochilus.chimborazo,PSS,Ecu,3523,Male,9.08,7.8076,37.79753,6.454,13.16,OROCH001
Oreotrochilus.chimborazo_USER45,Oreotrochilus,Oreotrochilus.chimborazo,PSS,Ecu,3523,Male,8.65,7.9335,38.13378,6.604,13.6,OROCH005
Oreotrochilus.chimborazo_Y76046,Oreotrochilus,Oreotrochilus.chimborazo,PSS,Ecu,3523,Male,8.38,7.467,32.02283,6.968,9.92,OROCH004
Oreotrochilus.chimborazo_Y76047,Oreotrochilus,Oreotrochilus.chimborazo,PSS,Ecu,3523,Male,9.07,7.6841,36.2225,6.527,12.08,OROCH003
Panterpe.insignis_A33153,Panterpe,Panterpe.insignis,DLA,Cerro,3100.000001,Male,6.236000064,6.991000368,28.52458699,6.853608239,10.66999999,NA
Panterpe.insignis_A33160,Panterpe,Panterpe.insignis,DLA,Cerro,3100.000001,Female,5.205999847,6.399000174,26.13601435,6.266786151,7.487649995,NA
Panterpe.insignis_A33162,Panterpe,Panterpe.insignis,DLA,Cerro,3100.000001,Male,6.261000162,7,29.84770172,6.566669745,10.67000001,NA
Panterpe.insignis_A33164,Panterpe,Panterpe.insignis,DLA,Cerro,3100.000001,Male,6.632999904,6.830999759,29.50330888,6.326416859,11.737,NA
Panterpe.insignis_A33165,Panterpe,Panterpe.insignis,DLA,Cerro,3100,Female,5.21,6.192,24.70222,6.208,7.93,NA
Panterpe.insignis_A33169,Panterpe,Panterpe.insignis,DLA,Cerro,3100.000001,Male,6.377999781,6.861000058,28.25570866,6.663902496,11.73699999,NA
