birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,1,from,0.038422355,1.296335848,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,5,from,0.115792067,1.530398781,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,2,to,0.03558475,1.760456178,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,4,from,0.139628003,1.16011042,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,1,to,0.073752826,1.633921616,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,3,from,0.077519145,1.555450975,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,2,from,0.131259467,1.188785939,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,5,to,0.035053434,1.894162506,NA
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,4,to,0.060227223,1.95706944,NA
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,4,to,-0.009838013,1.77123267,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,1,from,0.043013471,1.570204307,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,2,from,0.027167814,1.769900808,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,3,to,0.122961069,1.498090533,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,1,to,0.000647123,1.670954306,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,5,from,0.039445895,1.682315185,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,4,from,0.034019127,1.993646668,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,5,to,0.011022987,1.818891657,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,2,to,0.051638832,1.718412534,black
196,1_1.15_0_9.2_0_0,196_1_1.15_0_9.2_0_0,H 9.2 cm V 1.15 cm,ver,18.4,2.3,3,from,0.079959432,1.850075902,black
